"","country","country_group","age_pr","household_income","trust_president","satisfaction_economy"
"248","Albania","EU-candidate",34,60000,4,4
"249","Albania","EU-candidate",46,40000,3,4
"250","Albania","EU-candidate",40,80000,4,4
"251","Albania","EU-candidate",70,35000,4,4
"252","Albania","EU-candidate",55,80000,4,4
"253","Albania","EU-candidate",18,50000,3,4
"254","Albania","EU-candidate",38,NA,4,4
"255","Albania","EU-candidate",40,20000,4,4
"256","Albania","EU-candidate",42,35000,2,3
"257","Albania","EU-candidate",37,50000,4,4
"258","Albania","EU-candidate",33,68000,4,4
"259","Albania","EU-candidate",55,NA,2,4
"260","Albania","EU-candidate",64,30000,4,4
"261","Albania","EU-candidate",25,42000,2,2
"262","Albania","EU-candidate",32,100000,2,2
"263","Albania","EU-candidate",58,NA,3,4
"264","Albania","EU-candidate",50,65000,2,3
"265","Albania","EU-candidate",34,NA,2,1
"266","Albania","EU-candidate",35,NA,2,4
"267","Albania","EU-candidate",29,70000,2,3
"268","Albania","EU-candidate",39,50000,2,2
"269","Albania","EU-candidate",69,33000,1,2
"270","Albania","EU-candidate",23,NA,2,2
"271","Albania","EU-candidate",32,110000,2,4
"272","Albania","EU-candidate",62,70000,2,3
"273","Albania","EU-candidate",30,55000,2,1
"274","Albania","EU-candidate",66,NA,3,3
"275","Albania","EU-candidate",33,NA,1,2
"276","Albania","EU-candidate",20,150000,3,4
"277","Albania","EU-candidate",52,150000,1,4
"278","Albania","EU-candidate",25,200000,2,4
"279","Albania","EU-candidate",27,80000,2,4
"280","Albania","EU-candidate",31,70000,1,1
"281","Albania","EU-candidate",64,NA,2,4
"282","Albania","EU-candidate",33,NA,1,3
"283","Albania","EU-candidate",55,NA,1,1
"284","Albania","EU-candidate",27,65000,2,3
"285","Albania","EU-candidate",33,NA,3,3
"286","Albania","EU-candidate",29,120000,1,4
"287","Albania","EU-candidate",41,NA,2,1
"288","Albania","EU-candidate",52,120000,2,4
"289","Albania","EU-candidate",28,90000,3,4
"290","Albania","EU-candidate",67,NA,2,2
"291","Albania","EU-candidate",56,48000,1,2
"292","Albania","EU-candidate",21,30000,1,2
"293","Albania","EU-candidate",40,90000,2,4
"294","Albania","EU-candidate",61,38000,2,2
"295","Albania","EU-candidate",21,NA,2,2
"296","Albania","EU-candidate",52,41000,2,2
"297","Albania","EU-candidate",51,NA,2,4
"298","Albania","EU-candidate",44,79000,3,4
"299","Albania","EU-candidate",35,NA,2,4
"300","Albania","EU-candidate",29,120000,3,4
"301","Albania","EU-candidate",55,90000,1,2
"302","Albania","EU-candidate",28,NA,2,4
"303","Albania","EU-candidate",67,38000,3,4
"304","Albania","EU-candidate",50,50000,2,2
"305","Albania","EU-candidate",34,NA,1,2
"306","Albania","EU-candidate",30,NA,2,3
"307","Albania","EU-candidate",37,NA,2,2
"308","Albania","EU-candidate",55,NA,2,4
"309","Albania","EU-candidate",60,130000,4,4
"310","Albania","EU-candidate",74,45000,4,4
"311","Albania","EU-candidate",28,90000,4,4
"312","Albania","EU-candidate",38,100000,2,3
"313","Albania","EU-candidate",53,NA,4,1
"314","Albania","EU-candidate",68,NA,2,4
"315","Albania","EU-candidate",28,100000,3,4
"316","Albania","EU-candidate",31,NA,2,4
"317","Albania","EU-candidate",27,130000,2,4
"318","Albania","EU-candidate",49,110000,2,2
"319","Albania","EU-candidate",69,90000,3,4
"320","Albania","EU-candidate",34,NA,2,2
"321","Albania","EU-candidate",53,40000,1,2
"322","Albania","EU-candidate",70,35000,1,2
"323","Albania","EU-candidate",27,40000,1,2
"324","Albania","EU-candidate",31,70000,1,2
"325","Albania","EU-candidate",32,6000,1,2
"326","Albania","EU-candidate",70,12000,NA,1
"327","Albania","EU-candidate",25,71000,1,3
"328","Albania","EU-candidate",49,55000,1,2
"329","Albania","EU-candidate",29,35000,1,2
"330","Albania","EU-candidate",57,120000,1,3
"331","Albania","EU-candidate",55,70000,2,3
"332","Albania","EU-candidate",65,170000,1,4
"333","Albania","EU-candidate",42,70000,1,3
"334","Albania","EU-candidate",58,20000,1,2
"335","Albania","EU-candidate",31,100000,4,4
"336","Albania","EU-candidate",70,60000,1,4
"337","Albania","EU-candidate",46,80000,2,4
"338","Albania","EU-candidate",60,200000,1,4
"339","Albania","EU-candidate",45,NA,1,3
"340","Albania","EU-candidate",56,50000,1,3
"341","Albania","EU-candidate",57,200000,4,4
"342","Albania","EU-candidate",66,600,5,4
"343","Albania","EU-candidate",54,NA,5,5
"344","Albania","EU-candidate",60,800,4,3
"345","Albania","EU-candidate",55,500,2,1
"346","Albania","EU-candidate",18,1000,5,5
"347","Albania","EU-candidate",45,800,4,5
"348","Albania","EU-candidate",58,2400,3,5
"349","Albania","EU-candidate",38,500,4,3
"350","Albania","EU-candidate",58,800,4,3
"351","Albania","EU-candidate",45,2,4,4
"352","Albania","EU-candidate",51,1,4,3
"353","Albania","EU-candidate",42,1200,4,5
"354","Albania","EU-candidate",55,1,4,3
"355","Albania","EU-candidate",38,800,3,4
"356","Albania","EU-candidate",50,600,4,3
"357","Albania","EU-candidate",48,800,5,4
"358","Albania","EU-candidate",43,350,4,1
"359","Albania","EU-candidate",40,1000,3,4
"360","Albania","EU-candidate",45,900,4,3
"361","Albania","EU-candidate",48,70000,4,4
"362","Albania","EU-candidate",55,70000,3,3
"363","Albania","EU-candidate",19,40000,3,4
"364","Albania","EU-candidate",49,50000,4,3
"365","Albania","EU-candidate",19,50000,4,4
"366","Albania","EU-candidate",28,50000,4,4
"367","Albania","EU-candidate",26,40000,4,3
"368","Albania","EU-candidate",49,70000,4,4
"369","Albania","EU-candidate",19,45000,4,4
"370","Albania","EU-candidate",44,80000,4,4
"371","Albania","EU-candidate",50,40000,4,4
"372","Albania","EU-candidate",25,60000,3,4
"373","Albania","EU-candidate",57,100000,3,4
"374","Albania","EU-candidate",24,70000,3,4
"375","Albania","EU-candidate",22,70000,4,4
"376","Albania","EU-candidate",45,60000,4,4
"377","Albania","EU-candidate",34,40000,4,4
"378","Albania","EU-candidate",29,30000,3,4
"379","Albania","EU-candidate",26,90000,4,4
"380","Albania","EU-candidate",40,50000,3,4
"381","Albania","EU-candidate",23,45000,4,1
"382","Albania","EU-candidate",26,170000,2,3
"383","Albania","EU-candidate",52,72000,2,3
"384","Albania","EU-candidate",62,32000,4,4
"385","Albania","EU-candidate",36,160000,2,4
"386","Albania","EU-candidate",32,95000,2,4
"387","Albania","EU-candidate",52,120000,2,4
"388","Albania","EU-candidate",33,190000,2,2
"389","Albania","EU-candidate",55,85000,3,4
"390","Albania","EU-candidate",63,96000,4,4
"391","Albania","EU-candidate",63,70000,4,4
"392","Albania","EU-candidate",32,130000,2,4
"393","Albania","EU-candidate",32,100000,4,4
"394","Albania","EU-candidate",54,NA,4,4
"395","Albania","EU-candidate",52,43000,3,3
"396","Albania","EU-candidate",34,NA,4,5
"397","Albania","EU-candidate",38,NA,4,2
"398","Albania","EU-candidate",35,120000,4,4
"399","Albania","EU-candidate",18,NA,5,3
"400","Albania","EU-candidate",18,120000,4,4
"401","Albania","EU-candidate",32,1000,4,3
"402","Albania","EU-candidate",33,800,2,3
"403","Albania","EU-candidate",19,NA,3,3
"404","Albania","EU-candidate",20,3500,4,3
"405","Albania","EU-candidate",48,3500,4,5
"406","Albania","EU-candidate",38,NA,3,4
"407","Albania","EU-candidate",40,NA,4,4
"408","Albania","EU-candidate",50,NA,4,4
"409","Albania","EU-candidate",58,NA,4,4
"410","Albania","EU-candidate",50,NA,4,4
"411","Albania","EU-candidate",30,1,3,3
"412","Albania","EU-candidate",50,800,4,4
"413","Albania","EU-candidate",28,580,4,5
"414","Albania","EU-candidate",45,NA,5,3
"415","Albania","EU-candidate",45,1,3,5
"416","Albania","EU-candidate",39,NA,4,4
"417","Albania","EU-candidate",55,NA,2,3
"418","Albania","EU-candidate",36,500,5,5
"419","Albania","EU-candidate",47,10,4,5
"420","Albania","EU-candidate",40,1200,1,2
"421","Albania","EU-candidate",37,NA,NA,4
"422","Albania","EU-candidate",33,NA,4,4
"423","Albania","EU-candidate",28,NA,4,4
"424","Albania","EU-candidate",52,100000,3,4
"425","Albania","EU-candidate",34,100000,4,4
"426","Albania","EU-candidate",25,80000,4,4
"427","Albania","EU-candidate",24,50000,3,4
"428","Albania","EU-candidate",24,50000,4,4
"429","Albania","EU-candidate",48,95000,5,5
"430","Albania","EU-candidate",46,30000,4,3
"431","Albania","EU-candidate",26,80000,4,3
"432","Albania","EU-candidate",34,50000,5,3
"433","Albania","EU-candidate",33,70000,4,3
"434","Albania","EU-candidate",64,34000,4,3
"435","Albania","EU-candidate",40,140000,4,3
"436","Albania","EU-candidate",29,60000,4,4
"437","Albania","EU-candidate",26,150000,4,4
"438","Albania","EU-candidate",33,55000,4,2
"439","Albania","EU-candidate",64,31000,5,4
"440","Albania","EU-candidate",30,140000,4,4
"441","Albania","EU-candidate",50,50000,4,2
"442","Albania","EU-candidate",20,50000,4,4
"443","Albania","EU-candidate",52,120000,4,4
"444","Albania","EU-candidate",50,52000,3,4
"445","Albania","EU-candidate",49,130000,4,3
"446","Albania","EU-candidate",23,80000,4,4
"447","Albania","EU-candidate",30,130000,4,5
"448","Albania","EU-candidate",31,120000,4,4
"449","Albania","EU-candidate",55,80000,4,4
"450","Albania","EU-candidate",42,200000,4,4
"451","Albania","EU-candidate",55,60000,4,4
"452","Albania","EU-candidate",27,100000,4,4
"453","Albania","EU-candidate",44,NA,4,3
"454","Albania","EU-candidate",63,250000,4,4
"455","Albania","EU-candidate",24,95000,4,2
"456","Albania","EU-candidate",29,86000,3,3
"457","Albania","EU-candidate",48,150000,4,3
"458","Albania","EU-candidate",63,4500,4,4
"459","Albania","EU-candidate",30,110000,4,3
"460","Albania","EU-candidate",25,220000,4,3
"461","Albania","EU-candidate",38,140000,4,4
"462","Albania","EU-candidate",75,105000,4,4
"463","Albania","EU-candidate",35,120000,4,4
"464","Albania","EU-candidate",27,95000,4,4
"465","Albania","EU-candidate",32,75000,4,4
"466","Albania","EU-candidate",45,NA,4,4
"467","Albania","EU-candidate",68,42000,4,4
"468","Albania","EU-candidate",24,170000,4,4
"469","Albania","EU-candidate",27,180000,4,4
"470","Albania","EU-candidate",29,150000,4,4
"471","Albania","EU-candidate",32,120000,4,3
"472","Albania","EU-candidate",35,75000,4,3
"473","Albania","EU-candidate",29,75000,3,4
"474","Albania","EU-candidate",34,120000,4,4
"475","Albania","EU-candidate",64,41000,4,4
"476","Albania","EU-candidate",44,12000,4,4
"477","Albania","EU-candidate",30,98000,4,4
"478","Albania","EU-candidate",25,92000,4,4
"479","Albania","EU-candidate",28,94000,4,4
"480","Albania","EU-candidate",29,56000,4,4
"481","Albania","EU-candidate",56,80000,1,3
"482","Albania","EU-candidate",67,NA,2,4
"483","Albania","EU-candidate",44,100000,2,4
"484","Albania","EU-candidate",21,90000,1,2
"485","Albania","EU-candidate",20,100000,2,3
"486","Albania","EU-candidate",50,40000,1,1
"487","Albania","EU-candidate",27,80000,2,2
"488","Albania","EU-candidate",22,50000,3,3
"489","Albania","EU-candidate",47,60000,2,3
"490","Albania","EU-candidate",20,35000,1,1
"491","Albania","EU-candidate",20,80000,2,3
"492","Albania","EU-candidate",28,150000,1,4
